risk_score,risk_tier,action,actual_fraud
0.006164283195790168,LOW,APPROVE,0
0.02460827079148499,LOW,APPROVE,0
0.00672028225967903,LOW,APPROVE,0
0.00227126155054884,LOW,APPROVE,0
0.04606935817630356,LOW,APPROVE,0
0.01317066880178696,LOW,APPROVE,0
0.18861311448347437,MEDIUM,REVIEW,1
0.0084057642334423,LOW,APPROVE,0
0.010935930370370136,LOW,APPROVE,0
0.005056515458371635,LOW,APPROVE,0
0.002604920627321797,LOW,APPROVE,0
0.026236467498326414,LOW,APPROVE,0
0.19956873214816484,MEDIUM,REVIEW,1
0.07768388719012881,LOW,APPROVE,1
0.013655900035106075,LOW,APPROVE,0
0.012278169027916872,LOW,APPROVE,0
0.0046541023106098,LOW,APPROVE,0
0.002155137249371093,LOW,APPROVE,0
0.015621067425194582,LOW,APPROVE,0
0.003815140182321158,LOW,APPROVE,0
0.009386064673470055,LOW,APPROVE,0
0.0011179747636517353,LOW,APPROVE,0
0.02460827079148499,LOW,APPROVE,0
0.001701781414190027,LOW,APPROVE,0
0.007487305458105899,LOW,APPROVE,0
0.0030447870650592594,LOW,APPROVE,0
0.037833666650311924,LOW,APPROVE,0
0.0021856066557837364,LOW,APPROVE,0
0.037833666650311924,LOW,APPROVE,0
0.07461077217123427,LOW,APPROVE,0
0.003696340065557566,LOW,APPROVE,0
0.037833666650311924,LOW,APPROVE,0
0.005115217212730187,LOW,APPROVE,0
0.0010676590534636405,LOW,APPROVE,0
0.0036900121036032235,LOW,APPROVE,0
0.021109726287028542,LOW,APPROVE,0
0.002915986793672081,LOW,APPROVE,0
0.0017179529691601896,LOW,APPROVE,0
0.004015325103433533,LOW,APPROVE,0
0.005104588035602298,LOW,APPROVE,0
0.010653789078102107,LOW,APPROVE,0
0.0022989810536326255,LOW,APPROVE,0
0.0028329419069026973,LOW,APPROVE,0
0.11368677245373787,MEDIUM,REVIEW,1
0.0062711280607925055,LOW,APPROVE,0
0.017602371625048744,LOW,APPROVE,0
0.004705681398083362,LOW,APPROVE,0
0.02460827079148499,LOW,APPROVE,0
0.0017491752068892765,LOW,APPROVE,0
0.016592643830675297,LOW,APPROVE,0
0.00958981797726997,LOW,APPROVE,0
0.012141521518411304,LOW,APPROVE,0
0.01178018078448671,LOW,APPROVE,0
0.11368677245373787,MEDIUM,REVIEW,1
0.0017179529691601896,LOW,APPROVE,0
0.012476694297848047,LOW,APPROVE,0
0.00406689088498696,LOW,APPROVE,0
0.0019113351884523563,LOW,APPROVE,0
0.028557235966912554,LOW,APPROVE,0
0.004609354962519844,LOW,APPROVE,0
0.4374005008594031,MEDIUM,REVIEW,1
0.010950904299628828,LOW,APPROVE,0
0.00580798122140135,LOW,APPROVE,0
0.006995114763308257,LOW,APPROVE,0
0.0028452846372087185,LOW,APPROVE,0
0.00368978111357686,LOW,APPROVE,0
0.007889950802933837,LOW,APPROVE,0
0.003699417599470597,LOW,APPROVE,0
0.005104113910311497,LOW,APPROVE,0
